City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,6.2,80,100,3.57,NZ,1691263521
1,trinidad,-14.8333,-64.9,34.99,43,20,3.09,BO,1691263521
2,waitangi,-43.9535,-176.5597,9.03,59,100,14.91,NZ,1691263521
3,grytviken,-54.2811,-36.5092,-5.25,83,100,5.3,GS,1691263521
4,isna,25.2934,32.554,34.01,11,50,4.88,EG,1691263522
5,edinburgh of the seven seas,-37.0676,-12.3116,13.45,80,8,16.55,SH,1691263308
6,utrik,11.2278,169.8474,27.92,68,96,7.57,MH,1691263416
7,blackmans bay,-43.0167,147.3167,8.62,86,93,2.79,AU,1691263244
8,hamilton,39.1834,-84.5333,29.56,63,20,4.63,US,1691263483
9,atafu village,-8.5421,-172.5159,27.96,77,20,5.45,TK,1691263309
10,la ronge,55.1001,-105.2842,24.12,46,40,7.72,CA,1691263356
11,margaret river,-33.95,115.0667,8.62,80,100,1.47,AU,1691263522
12,tiksi,71.6872,128.8694,1.71,83,97,3.47,RU,1691263523
13,patos,-7.0244,-37.28,34.31,24,3,4.46,BR,1691263523
14,jiuquan,39.7432,98.5174,24.4,32,6,0.67,CN,1691263523
15,adamstown,-25.066,-130.1015,19.13,63,9,6.32,PN,1691263523
16,albany,42.6001,-73.9662,26.43,57,100,0.45,US,1691263523
17,palora,-1.7,-77.9333,23.06,62,64,0.56,EC,1691263523
18,thompson,55.7435,-97.8558,21.09,68,75,3.09,CA,1691263523
19,qaqortoq,60.7167,-46.0333,9.55,73,4,0.8,GL,1691263232
20,as sulayyil,20.4607,45.5779,37.14,10,100,2.07,SA,1691263524
21,chonchi,-42.6128,-73.8092,11.18,75,100,1.53,CL,1691263455
22,porto novo,6.4965,2.6036,25.9,86,27,3.94,BJ,1691263256
23,ondjiva,-17.0667,15.7333,20.02,24,0,3.09,AO,1691263524
24,port-aux-francais,-49.35,70.2167,2.42,72,97,13.98,TF,1691263306
25,ola,59.5833,151.2833,11.28,65,10,3.67,RU,1691263524
26,along,28.1667,94.7667,23.74,99,100,0.15,IN,1691263524
27,coyhaique,-45.5752,-72.0662,7.97,49,75,4.63,CL,1691263294
28,whitehorse,60.7161,-135.0538,21.43,42,40,4.12,CA,1691263262
29,invercargill,-46.4,168.35,6.68,86,100,2.24,NZ,1691263355
30,kununurra,-15.7667,128.7333,24.99,36,100,3.09,AU,1691263427
31,ushuaia,-54.8,-68.3,2.81,87,100,2.06,AR,1691263501
32,livingstone,-17.8419,25.8543,15.48,44,0,1.93,ZM,1691263525
33,lethem,3.3803,-59.7968,31.65,58,86,0.9,GY,1691263525
34,happy valley-goose bay,53.3168,-60.3315,23.17,49,75,4.12,CA,1691263525
35,sisimiut,66.9395,-53.6735,7.86,73,16,3.47,GL,1691263525
36,yellowknife,62.456,-114.3525,20.31,42,75,3.6,CA,1691263233
37,stanley,54.868,-1.6985,12.38,83,20,3.6,GB,1691263474
38,nikolayevsk-on-amure,53.1406,140.73,12.0,73,98,0.93,RU,1691263526
39,iwanai,42.9744,140.5089,22.73,99,100,0.98,JP,1691263526
40,chui,-33.6971,-53.4616,15.09,51,0,3.3,UY,1691263526
41,college,64.8569,-147.8028,22.82,59,40,0.0,US,1691263526
42,georgetown,5.4112,100.3354,26.96,95,20,1.54,MY,1691263526
43,puerto natales,-51.7236,-72.4875,5.39,86,100,10.16,CL,1691263310
44,arkhipo-osipovka,44.37,38.52,27.98,57,0,5.51,RU,1691263527
45,las heras,-46.5419,-68.9359,9.41,43,0,7.96,AR,1691263527
46,el nido,11.1858,119.3956,27.2,81,6,4.28,PH,1691263527
47,bredasdorp,-34.5322,20.0403,9.86,92,100,1.53,ZA,1691263407
